Prep,Frame,H,M,Phase,Combo,Bout,Time,Class,Type,Moves,AComp,DComp
917,426,4,26,S,H4M26,6,3.617426389,I,VA,NaN,A,V
,,,,,,,,,,,,
917,440,4,2,S,H4M2,6,3.736527346,II,DL,NaN,A,D
,,,,,,,,,,,,
917,441,4,3,S,H4M3,6,3.745034558,II,DL,NaN,A,D
,,,,,,,,,,,,
917,442,3,3,S,H3M3,6,3.753541769,II,DL,NaN,A,D
,,,,,,,,,,,,
917,442,5,3,S,H5M3,6,3.753541769,II,DL,NaN,P,D
,,,,,,,,,,,,
917,447,1,12,S,H1M12,6,3.796077825,III,VL,NaN,A,V
,,,,,,,,,,,,
917,447,1,13,S,H1M13,6,3.796077825,III,VL,NaN,A,V
,,,,,,,,,,,,
917,449,2,12,S,H2M12,6,3.813092248,III,VL,NaN,A,V
,,,,,,,,,,,,
917,456,5,13,S,H5M13,6,3.872642726,III,VL,NaN,P,V
,,,,,,,,,,,,
917,477,1,3,S,H1M3,6,4.051294163,II,DL,NaN,A,D
,,,,,,,,,,,,
917,490,2,24,S,H2M24,6,4.161887909,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,496,1,8,S,H1M8,6,4.212931176,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,496,2,21,S,H2M21,6,4.212931176,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,496,2,22,S,H2M22,6,4.212931176,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,505,2,3,S,H2M3,6,4.289496078,II,DL,NaN,A,D
,,,,,,,,,,,,
917,505,1,21,S,H1M21,6,4.289496078,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,505,1,22,S,H1M22,6,4.289496078,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,505,1,23,S,H1M23,6,4.289496078,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,530,2,28,S,H2M28,6,4.502176359,I,VO,NaN,A,V
,,,,,,,,,,,,
917,568,5,8,S,H5M8,7,4.825450386,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,569,6,21,S,H6M21,7,4.833957598,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,569,5,22,S,H5M22,7,4.833957598,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,569,6,22,S,H6M22,7,4.833957598,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,569,5,23,S,H5M23,7,4.833957598,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,569,6,23,S,H6M23,7,4.833957598,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,569,5,28,S,H5M28,7,4.833957598,I,VO,NaN,P,V
,,,,,,,,,,,,
917,570,5,2,S,H5M2,7,4.842464809,II,DL,NaN,P,D
,,,,,,,,,,,,
917,570,4,8,S,H4M8,7,4.842464809,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,570,4,21,S,H4M21,7,4.842464809,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,570,5,25,S,H5M25,7,4.842464809,I,TR,NaN,P,TR
,,,,,,,,,,,,
917,572,3,8,S,H3M8,7,4.859479231,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,572,4,22,S,H4M22,7,4.859479231,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,572,4,23,S,H4M23,7,4.859479231,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,572,4,25,S,H4M25,7,4.859479231,I,TR,NaN,A,TR
,,,,,,,,,,,,
917,573,6,25,S,H6M25,7,4.867986443,I,TR,NaN,P,TR
,,,,,,,,,,,,
917,573,7,25,S,H7M25,7,4.867986443,I,TR,NaN,P,TR
,,,,,,,,,,,,
917,573,4,28,S,H4M28,7,4.867986443,I,VO,NaN,A,V
,,,,,,,,,,,,
917,573,6,28,S,H6M28,7,4.867986443,I,VO,NaN,P,V
,,,,,,,,,,,,
917,574,2,2,S,H2M2,7,4.876493654,II,DL,NaN,A,D
,,,,,,,,,,,,
917,574,3,2,S,H3M2,7,4.876493654,II,DL,NaN,A,D
,,,,,,,,,,,,
917,574,4,2,S,H4M2,7,4.876493654,II,DL,NaN,A,D
,,,,,,,,,,,,
917,574,3,21,S,H3M21,7,4.876493654,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,574,3,22,S,H3M22,7,4.876493654,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,574,3,23,S,H3M23,7,4.876493654,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,576,2,26,S,H2M26,7,4.893508076,I,VA,NaN,A,V
,,,,,,,,,,,,
917,576,3,26,S,H3M26,7,4.893508076,I,VA,NaN,A,V
,,,,,,,,,,,,
917,577,3,5,S,H3M5,7,4.902015288,I,DO,NaN,A,D
,,,,,,,,,,,,
917,577,2,8,S,H2M8,7,4.902015288,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,582,1,4,S,H1M4,7,4.944551344,NaN,DL,NaN,A,D
,,,,,,,,,,,,
917,582,2,4,S,H2M4,7,4.944551344,NaN,DL,NaN,A,D
,,,,,,,,,,,,
917,582,2,5,S,H2M5,7,4.944551344,I,DO,NaN,A,D
,,,,,,,,,,,,
917,583,1,5,S,H1M5,7,4.953058555,I,DO,NaN,A,D
,,,,,,,,,,,,
917,583,1,12,S,H1M12,7,4.953058555,III,VL,NaN,A,V
,,,,,,,,,,,,
917,583,2,12,S,H2M12,7,4.953058555,III,VL,NaN,A,V
,,,,,,,,,,,,
917,583,1,13,S,H1M13,7,4.953058555,III,VL,NaN,A,V
,,,,,,,,,,,,
917,583,2,13,S,H2M13,7,4.953058555,III,VL,NaN,A,V
,,,,,,,,,,,,
917,606,1,2,S,H1M2,7,5.148724414,II,DL,NaN,A,D
,,,,,,,,,,,,
917,658,3,8,S,H3M8,8,5.591099399,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,658,3,21,S,H3M21,8,5.591099399,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,658,4,21,S,H4M21,8,5.591099399,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,658,3,22,S,H3M22,8,5.591099399,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,658,3,23,S,H3M23,8,5.591099399,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,659,4,8,S,H4M8,8,5.59960661,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,660,2,21,S,H2M21,8,5.608113821,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,660,2,22,S,H2M22,8,5.608113821,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,661,2,8,S,H2M8,8,5.616621033,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,662,3,2,S,H3M2,8,5.625128244,II,DL,NaN,A,D
,,,,,,,,,,,,
917,663,2,23,S,H2M23,8,5.633635455,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,663,2,24,S,H2M24,8,5.633635455,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,665,2,2,S,H2M2,8,5.650649878,II,DL,NaN,A,D
,,,,,,,,,,,,
917,677,3,3,S,H3M3,8,5.752736413,II,DL,NaN,A,D
